clip_id,video_id,track_id,start_time,end_time,duration_s,n_frames,zone,strata,near_lake,near_tree,in_group,mean_speed,clip_dir,video_path,label_status,activity_label,apparent_age_group,annotator,notes,split,mean_confidence,mean_bbox_height_px
GX020055_tr0013,GX020055,13,13.881,24.157,10.276,41,park,slow,False,False,False,3.03,clips/GX020055_tr0013,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr0014,GX020055,14,20.687,23.891,3.204,24,tree_4,"near_tree,slow",False,True,False,4.31,clips/GX020055_tr0014,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0103,GX020055,103,95.562,99.166,3.604,24,tree_4,"near_tree,slow",False,True,False,6.5,clips/GX020055_tr0103,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0241,GX020055,241,141.208,155.622,14.414,92,lake,"near_lake,near_tree,fast",True,True,False,68.98,clips/GX020055_tr0241,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,running,adult,,,,,
GX020055_tr0269,GX020055,269,148.415,152.152,3.737,21,tree_2,"near_tree,moving",False,True,False,13.64,clips/GX020055_tr0269,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0280,GX020055,280,149.883,156.823,6.94,47,park,"near_tree,fast",False,True,False,21.21,clips/GX020055_tr0280,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0287,GX020055,287,152.019,154.154,2.135,16,park,"near_tree,moving",False,True,False,19.26,clips/GX020055_tr0287,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0335,GX020055,335,161.762,166.433,4.671,29,park,"near_tree,fast",False,True,False,29.24,clips/GX020055_tr0335,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0376,GX020055,376,232.232,242.375,10.143,52,park,fast,False,False,False,32.2,clips/GX020055_tr0376,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0404,GX020055,404,294.828,297.097,2.269,10,lake,"near_lake,near_tree,fast",True,True,False,40.61,clips/GX020055_tr0404,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0415,GX020055,415,314.447,349.149,34.702,252,tree_3,"near_tree,fast",False,True,False,42.68,clips/GX020055_tr0415,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,running,adult,,,,,
GX020055_tr0528,GX020055,528,379.98,382.515,2.535,11,tree_4,"near_tree,slow",False,True,False,4.8,clips/GX020055_tr0528,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0577,GX020055,577,406.94,417.083,10.143,62,park,fast,False,False,False,57.77,clips/GX020055_tr0577,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,dog_walking,adult,,,,,
GX020055_tr0589,GX020055,589,411.077,418.151,7.074,29,park,slow,False,False,False,4.8,clips/GX020055_tr0589,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr0611,GX020055,611,413.88,418.551,4.671,25,tree_4,"near_tree,slow",False,True,False,3.57,clips/GX020055_tr0611,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr0714,GX020055,714,467.267,482.215,14.948,108,park,fast,False,False,False,59.9,clips/GX020055_tr0714,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0757,GX020055,757,474.074,494.094,20.02,131,park,"near_tree,fast",False,True,False,47.07,clips/GX020055_tr0757,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0773,GX020055,773,476.343,503.169,26.826,199,park,"near_tree,fast",False,True,False,65.63,clips/GX020055_tr0773,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0775,GX020055,775,476.476,482.749,6.273,37,tree_4,"near_tree,in_group,slow",False,True,True,4.08,clips/GX020055_tr0775,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
